"ref_number","title","raw_text","doi","arxiv_id","year","authors","venue","article_url","has_article_url"
"84","MTAAL: multi-task adversarial active learning for medical named entity recognition and normalization","MTAAL: multi-task adversarial active learning for medical named entity recognition and normalization B Zhou X Cai Proc. of AAAI of AAAI 2021","","","2021","['B Zhou', 'X Cai']","Proc. of AAAI","",""
"85","Single shot active learning using pseudo annotators","Single shot active learning using pseudo annotators Y Yang M Loog Pattern Recognit 89 2019","","","2019","['Y Yang', 'M Loog']","Pattern Recognit","",""
"86","Meta agent teaming active learning for pose estimation","Meta agent teaming active learning for pose estimation J Gong Z Fan Proc. of CVPR of CVPR 2022","","","2022","['J Gong', 'Z Fan']","Proc. of CVPR","",""
"87","Active learning for domain adaptation: An energy-based approach","Active learning for domain adaptation: An energy-based approach B Xie L Yuan Proc. of AAAI of AAAI 2022","","","2022","['B Xie', 'L Yuan']","Proc. of AAAI","",""
"88","A new active labeling method for deep learning","A new active labeling method for deep learning D Wang Y Shang Proc. of IJCNN of IJCNN 2014","","","2014","['D Wang', 'Y Shang']","Proc. of IJCNN","",""
"89","A lagrangian duality approach to active learning","A lagrangian duality approach to active learning J Elenter N Naderializadeh A Ribeiro Proc. of NeurIPS of NeurIPS 2022","","","2022","['J Elenter', 'N Naderializadeh', 'A Ribeiro']","Proc. of NeurIPS","",""
"90","Finding the homology of decision boundaries with active learning","Finding the homology of decision boundaries with active learning W Li G Dasarathy K N Ramamurthy V Berisha Proc. of NeurIPS of NeurIPS 2020","","","2020","['W Li', 'G Dasarathy', 'K N Ramamurthy', 'V Berisha']","Proc. of NeurIPS","",""
"91","Margin-based active learning for structured output spaces","Margin-based active learning for structured output spaces D Roth K Small Proc. of ECML of ECML 2006","","","2006","['D Roth', 'K Small']","Proc. of ECML","",""
"92","Active imitation learning with noisy guidance","Active imitation learning with noisy guidance K Brantley H D Iii A Sharaf Proc. of ACL of ACL 2020","","","2020","['K Brantley', 'H D Iii', 'A Sharaf']","Proc. of ACL","",""
"93","The label complexity of active learning from observational data","The label complexity of active learning from observational data S Yan K Chaudhuri T Javidi Proc. of NeurIPS of NeurIPS 2019","","","2019","['S Yan', 'K Chaudhuri', 'T Javidi']","Proc. of NeurIPS","",""
"94","To actively initialize active learning","To actively initialize active learning Y Yang M Loog Pattern Recognit 131 108836 2022","","","2022","['Y Yang', 'M Loog']","Pattern Recognit","",""
"95","In defense of core-set: A density-aware core-set selection for active learning","In defense of core-set: A density-aware core-set selection for active learning Y Kim B Shin Proc. of SIGKDD of SIGKDD 2022","","","2022","['Y Kim', 'B Shin']","Proc. of SIGKDD","",""
"96","Similarity search for efficient active learning and search of rare concepts","Similarity search for efficient active learning and search of rare concepts C Coleman E Chou Proc. of AAAI of AAAI 2022","","","2022","['C Coleman', 'E Chou']","Proc. of AAAI","",""
"97","Deep active learning for biased datasets via fisher kernel selfsupervision","Deep active learning for biased datasets via fisher kernel selfsupervision D A Gudovskiy A Hodgkinson T Yamaguchi S Tsukizawa Proc. of CVPR of CVPR 2020","","","2020","['D A Gudovskiy', 'A Hodgkinson', 'T Yamaguchi', 'S Tsukizawa']","Proc. of CVPR","",""
"98","Contextaware query selection for active learning in event recognition","Contextaware query selection for active learning in event recognition M Hasan S Paul A I Mourikis A K Roy-Chowdhury IEEE Trans. Pattern Anal. Mach. Intell 42 3 2020","","","2020","['M Hasan', 'S Paul', 'A I Mourikis', 'A K Roy-Chowdhury']","IEEE Trans. Pattern Anal. Mach. Intell","",""
"99","Active batch selection via convex relaxations with guaranteed solution bounds","Active batch selection via convex relaxations with guaranteed solution bounds S Chakraborty V N Balasubramanian Q Sun S Panchanathan J Ye IEEE Trans. Pattern Anal. Mach. Intell 37 10 2015","","","2015","['S Chakraborty', 'V N Balasubramanian', 'Q Sun', 'S Panchanathan', 'J Ye']","IEEE Trans. Pattern Anal. Mach. Intell","",""
"100","One-shot active learning for image segmentation via contrastive learning and diversity-based sampling","One-shot active learning for image segmentation via contrastive learning and diversity-based sampling Q Jin M Yuan Knowl. Based Syst 241 108278 2022","","","2022","['Q Jin', 'M Yuan']","Knowl. Based Syst","",""
