ref_id,ref_number,title,year,doi,arxiv_id,venue,first_author,authors,article_url,pdf_url,additional_urls
,150,Multiple instance active learning for object detection,2021,,,Proc. of CVPR,"['T Yuan', 'F Wan', 'M Fu', 'J Liu', 'S Xu', 'X Ji', 'Q Ye']","['T Yuan', 'F Wan', 'M Fu', 'J Liu', 'S Xu', 'X Ji', 'Q Ye']",https://arxiv.org/abs/2104.02324,http://arxiv.org/pdf/2104.02324v1,"[""http://arxiv.org/abs/2104.02324v1"", ""http://arxiv.org/pdf/2104.02324v1""]"
,151,Active learning for bayesian 3d hand pose estimation,2021,,,Proc. of WACV,"['R Caramalau', 'B Bhattarai', 'T Kim']","['R Caramalau', 'B Bhattarai', 'T Kim']",https://arxiv.org/abs/2010.00694,http://arxiv.org/pdf/2010.00694v2,"[""http://arxiv.org/abs/2010.00694v2"", ""http://arxiv.org/pdf/2010.00694v2""]"
,152,A mathematical analysis of learning loss for active learning in regression,2021,,,Proc. of CVPR,"['M Shukla', 'S Ahmed']","['M Shukla', 'S Ahmed']",https://arxiv.org/abs/2104.09315,https://arxiv.org/pdf/2104.09315,"[""https://doi.org/10.1109/cvprw53098.2021.00370"", ""https://arxiv.org/pdf/2104.09315""]"
2110.13259,153,Active learning for deep visual tracking,2021,,2110.13259,Active learning for deep visual tracking,"['D Yuan', 'X Chang', 'Q Liu', 'D Wang', 'Z He']","['D Yuan', 'X Chang', 'Q Liu', 'D Wang', 'Z He']",https://arxiv.org/abs/2110.13259,http://arxiv.org/pdf/2110.13259v2,"[""http://arxiv.org/abs/2110.13259v2""]"
2205.03555,154,Multi-target active object tracking with monte carlo tree search and target motion modeling,2022,,2205.03555,Multi-target active object tracking with monte carlo tree search and target motion modeling,"['Z Chen', 'J Zhao']","['Z Chen', 'J Zhao']",https://arxiv.org/abs/2205.03555?context=cs.LG,http://arxiv.org/pdf/2205.03555v1,"[""http://arxiv.org/abs/2205.03555v1""]"
,155,Rethinking data collection for person re-identification: active redundancy reduction,2021,,,Pattern Recognit,"['X Xu', 'L Liu', 'X Zhang', 'W Guan', 'R Hu']","['X Xu', 'L Liu', 'X Zhang', 'W Guan', 'R Hu']",,,"[""https://www.semanticscholar.org/paper/638601f745c8a8c8856ae9836c666772c9c4d9ec""]"
,156,Multi-view active learning for video recommendation,2019,,,Proc. of IJCAI,"['J Cai', 'J Tang', 'Q Chen', 'Y Hu', 'X Wang', 'S Huang']","['J Cai', 'J Tang', 'Q Chen', 'Y Hu', 'X Wang', 'S Huang']",https://www.ijcai.org/proceedings/2019/0284,https://www.ijcai.org/proceedings/2019/0284.pdf,"[""https://www.semanticscholar.org/paper/109c9fa931741d54bf95da40bc5f59477bd53371"", ""https://www.ijcai.org/proceedings/2019/0284.pdf""]"
,157,A unified framework of active transfer learning for cross-system recommendation,2017,,,Artif. Intell,"['L Zhao', 'S J Pan', 'Q Yang']","['L Zhao', 'S J Pan', 'Q Yang']",,,[]
,158,Community trolling: An active learning approach for topic based community detection in big data,2018,,,J. Grid Comput,"['P Gupta', 'R Jindal', 'A Sharma']","['P Gupta', 'R Jindal', 'A Sharma']",,,"[""https://www.semanticscholar.org/paper/dfc436ec4124b5f9a423e26abcdd6e817d385c32""]"
,159,Active learning in the geometric block model,2020,,,Proc. of AAAI,"['E Chien', 'A M Tulino', 'J Llorca']","['E Chien', 'A M Tulino', 'J Llorca']",https://arxiv.org/abs/1912.06570,http://arxiv.org/pdf/1912.06570v1,"[""http://arxiv.org/abs/1912.06570v1"", ""http://arxiv.org/pdf/1912.06570v1""]"
,160,Active learning for personalizing treatment,2011,,,Proc. of ADPRL. IEEE,"['K Deng', 'J Pineau', 'S A Murphy']","['K Deng', 'J Pineau', 'S A Murphy']",,,"[""https://www.semanticscholar.org/paper/408619a4197c329797866f4e4ba8885fe5fd5768""]"
1912.01119,161,Deep bayesian active learning for multiple correct outputs,2019,,1912.01119,Deep bayesian active learning for multiple correct outputs,"['K Jedoui', 'R Krishna', 'M S Bernstein', 'L Fei-Fei']","['K Jedoui', 'R Krishna', 'M S Bernstein', 'L Fei-Fei']",https://arxiv.org/abs/1912.01119,http://arxiv.org/pdf/1912.01119v2,"[""http://arxiv.org/abs/1912.01119v2""]"
,162,Contextual semantic parsing for multilingual task-oriented dialogues,2023,,,Proc. of EACL,"['M Moradshahi', 'V Tsai', 'G Campagna', 'M Lam']","['M Moradshahi', 'V Tsai', 'G Campagna', 'M Lam']",https://arxiv.org/abs/2111.02574,http://arxiv.org/pdf/2111.02574v2,"[""http://arxiv.org/abs/2111.02574v2""]"
,163,Active learning for multilingual semantic parser,2023,,,Findings of EACL,"['Z Li', 'G Haffari']","['Z Li', 'G Haffari']",,,"[""https://doi.org/10.18653/v1/2023.findings-eacl.47"", ""https://aclanthology.org/2023.findings-eacl.47.pdf""]"
,164,Fine-tuning convolutional neural networks for biomedical image analysis: Actively and incrementally,2017,,,Proc. of CVPR,"['Z Zhou', 'J Shin']","['Z Zhou', 'J Shin']",,https://europepmc.org/articles/pmc6191179?pdf=render,"[""https://www.semanticscholar.org/paper/71cdc2345df62d60a1ed88333a6101ce669663b0"", ""https://europepmc.org/articles/pmc6191179?pdf=render""]"
,165,Active learning for networked data,2010,,,Proc. of ICML,"['M Bilgic', 'L Mihalkova', 'L Getoor']","['M Bilgic', 'L Mihalkova', 'L Getoor']",,,"[""https://www.semanticscholar.org/paper/6a64285a5d6c16b38ac0f8b471559cf8484a3078""]"
,166,Active learning for graph embedding,2017,,,Active learning for graph embedding,"['H Cai', 'V W Zheng', 'K C Chang']","['H Cai', 'V W Zheng', 'K C Chang']",https://arxiv.org/abs/1705.05085,http://arxiv.org/pdf/1705.05085v1,"[""http://arxiv.org/abs/1705.05085v1"", ""http://arxiv.org/pdf/1705.05085v1""]"
,167,Active discriminative network representation learning,2018,,,Proc. of IJCAI,"['L Gao', 'H Yang']","['L Gao', 'H Yang']",https://www.ijcai.org/proceedings/2018/0296,https://www.ijcai.org/proceedings/2018/0296.pdf,"[""https://www.semanticscholar.org/paper/0ab4435cb34988c9a31aadf4546d1d475ba3c42e"", ""https://www.ijcai.org/proceedings/2018/0296.pdf""]"
,168,Deep active learning for anchor user prediction,2019,,,Proc. of IJCAI,"['A Cheng', 'C Zhou']","['A Cheng', 'C Zhou']",,,"[""https://doi.org/10.24963/ijcai.2019/298"", ""https://www.ijcai.org/proceedings/2019/0298.pdf""]"
