subject,predicate,object,doc_id,chunk_id,score,cq_id
http://example.org/kg/cq/CQ_S0_R1_0010,http://example.org/kg/supportedBy,http://example.org/kg/chunk/113-2111_02275v2_rag__chunk_005,113-2111.02275v2_rag,113-2111.02275v2_rag::chunk_005,0.7975443303585052,CQ_S0_R1_0010
http://example.org/kg/cq/CQ_S0_R1_0008,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_002,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_002,0.8135745227336884,CQ_S0_R1_0008
http://example.org/kg/cq/CQ_S0_R1_0008,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_027,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_027,0.8035201132297516,CQ_S0_R1_0008
http://example.org/kg/cq/CQ_S0_R1_0008,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_022,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_022,0.8023551106452942,CQ_S0_R1_0008
http://example.org/kg/cq/CQ_S0_R1_0008,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_000,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_000,0.8005589246749878,CQ_S0_R1_0008
http://example.org/kg/cq/CQ_S0_R1_0008,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_016,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_016,0.7949129939079285,CQ_S0_R1_0008
http://example.org/kg/cq/CQ_S0_R1_0048,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_002,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_002,0.8153353929519653,CQ_S0_R1_0048
http://example.org/kg/cq/CQ_S0_R1_0048,http://example.org/kg/supportedBy,http://example.org/kg/chunk/26-2009_00236v2_rag__chunk_033,26-2009.00236v2_rag,26-2009.00236v2_rag::chunk_033,0.8099654912948608,CQ_S0_R1_0048
http://example.org/kg/cq/CQ_S0_R1_0048,http://example.org/kg/supportedBy,http://example.org/kg/chunk/25-mathematics-11-00820_rag__chunk_003,25-mathematics-11-00820_rag,25-mathematics-11-00820_rag::chunk_003,0.799694687128067,CQ_S0_R1_0048
http://example.org/kg/cq/CQ_S0_R1_0048,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_006,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_006,0.7988110184669495,CQ_S0_R1_0048
http://example.org/kg/cq/CQ_S0_R1_0048,http://example.org/kg/supportedBy,http://example.org/kg/chunk/22-2203_13450v3_rag__chunk_016,22-2203.13450v3_rag,22-2203.13450v3_rag::chunk_016,0.7917190790176392,CQ_S0_R1_0048
